Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Investigator or Source,href
2017.08.26.a,2017-08-26,2017,Unprovoked,NEW ZEALAND,North Island,Off Tutukaka,,M,,"No injury, shark bit canoe",N,,,"C.Black, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.26.a-Kensington.pdf
2017.08.23,2017-08-23,2017,Unprovoked,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",,M,69,Not injured by shark but board bitten,N,10h00,"White shark, 5' to 7'","Cape Cod Times, 8/23/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.23-Bigelow.pdf
2017.08.18,2017-08-18,2017,Unprovoked,BAHAMAS,,,Fishing,M,,Hand injured,N,15h00,5' shark,"CBS12, 8/18/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.18-JupiterDiver.pdf
2017.08.10,2017-08-10,2017,Unprovoked,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Swimming,M,13,Minor cuts to sole & toes of left foot,N,13h30,Possibly a juvenile blacktip shark,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.10-Suttle.pdf
2017.08.05,2017-08-05,2017,Unprovoked,EGYPT,Red Sea Protectorate,Marsa Ghalib,Snorkeling,F,20,Bite to right leg/hip,N,,"Oceanic whitetip shark, 1.8 to 2 m","Egyptian government, 8/5/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.05-Schachinger.pdf
2017.08.03,2017-08-03,2017,Provoked,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",Fishing,M,34,Foot bitten by landed shark PROVOKED INCIDENT,N,23h30,4' shark,"MassLive, 8/4/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.03-Massachusetts.pdf
2017.08.01,2017-08-01,2017,Provoked,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",Fishing,M,,"No injury, bow of kayak bitten",N,10h45,"White shark, 10'","R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.01-Conroy.pdf
2017.07.31,2017-07-31,2017,Unprovoked,USA,Florida,"Jacksonvlle, Duval County",Boarding,M,15,Lacerations to lower leg,N,18h30,,"K. McMurray, Tracking Sharks",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.31.pdf
2017.07.29.c,2017-07-29,2017,Provoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Abrasions and cuts to sole of foot,,15h00,A small shark,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.29.c-Simatacolos.pdf
2017.07.29.a,2017-07-29,2017,Unprovoked,USA,South Carolina,"DeBordieu Colony, Georgetown County",,F,12,Bite to left thigh / minor injury,N,Afternoon,,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.29.a-Georgetown.pdf
2017.07.27,2017-07-27,2017,Unprovoked,BAHAMAS,New Providence District,Rose Island,Snorkeling,F,,Foot & ankle injured,N,,,"R. Rolle, Tribune 242,  7/28/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.27-Bahamas.pdf
2017.07.26.R,2017-07-26,2017,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,,Fishing,M,,Severe lacerations to left hand,N,,,"RevistaJaraysedal.es, 7/26/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.26.R-Massey.pdf
2017.07.24,2017-07-24,2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Surfing,M,37,Torso bitten,N,17h00,,"Telegraph UK, 7/28/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.24-Matsu.pdf
2017.07.23.b,2017-07-23,2017,Unprovoked,USA,New Jersey,Ventnor,,F,,Minor injury to hand,N,,Sandtiger shark  2',A. Smith,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.23.b-Smith.pdf
2017.07.23.a,2017-07-23,2017,Unprovoked,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",Swimming,F,,Abrasion to arm from shark's rough skin,N,Afternoon,Blue shark 6',"Daily Record, 7/24/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.23.a-Majorca.pdf
2017.07.22,2017-07-22,2017,Unprovoked,USA,Florida,"Snipes Point, Monroe County",,F,40,Foot bitten,N,12h30,"""A small shark""","NBC Miami, 7/23/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.22-Keys.pdf
2017.07.20.c,2017-07-20,2017,Provoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,F,8,Foot injured,,,Shark involvement not confirmed,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.20.c-Rogier.pdf
2017.07.20.b,2017-07-20,2017,Provoked,USA,California,"Stearns Wharf, Santa Barbara",Kayaking,M,40,"No injury, kayak bitten",N,11h20,"White shark, 11' to 13'","R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.20.b-Jackson.pdf
2017.07.20.a,2017-07-20,2017,Unprovoked,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",,M,50,"No injury, shark bit paddleboard",N,07h45,"White shark, 8' to 10'","R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.20.a-Geyling.pdf
2017.07.14.b,2017-07-14,2017,Unprovoked,USA,Washington,"South Beach, Westport, Grays Harbor County",Surfing,M,,Pulled off board by shark but no injury,N,18h30,"White shark, 9'","R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.14.b-Washington.pdf
2017.07.14.a,2017-07-14,2017,Unprovoked,AUSTRALIA,Western Australia,Floreat Beach,Surfing,M,,"Minor injury, grazed by shark",N,11h45,,,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.14.a-Floreat.pdf
2017.07.11,2017-07-11,2017,Provoked,USA,California,"Santa Cruz, Santa Cruz County",Kayaking,M,,"No injury, kayak bitten",N,11h00,White shark,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.11-Lawson.pdf
2017.07.09,2017-07-09,2017,Unprovoked,USA,Florida,"Haulover Beach, Miami-Dade County",Swimming,M,46,Lower legs bitten,N,15h30,"Bull shark, 4' to 5'","Miami-Beach Patch, 7/9/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.09-Lanza.pdf
2017.07.07.R,2017-07-07,2017,Provoked,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",Fishing,M,32,Hand bitten by hooked shark PROVOKED INCIDENT,N,,"Tiger shark, 100 kg","Tabasco Hoy, 7/7/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.07.R-Rodriguez.pdf
2017.07.07,2017-07-07,2017,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",Surfing,F,13,"No injury, shark bit surfboard",N,15h00,"White shark, 2.5 m","Dispatch Live, 7/7/2027",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.07-Stein.pdf
2017.07.02,2017-07-02,2017,Provoked,COMOROS,Anjouan,Moya,Fishing,,,"Skull found in shark, a probable drowning & scavenging",,,Shark involvement prior to death not confirmed,"Linfo, 7/3/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.02-Comoros.pdf
2017.06.29,2017-06-29,2017,Provoked,USA,South Carolina,Wrightsville Beach,Fishing,M,,"Arm injured by hook, not by a shark",,19h30,No shark invovlement ,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.29-Wrightsville.pdf
2017.06.21,2017-06-21,2017,Unprovoked,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Swimming,F,16,Left foot bitten,N,,,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.21-Wallhauser.pdf
2017.06.19,2017-06-19,2017,Unprovoked,USA,Florida,"Singer Island, Palm Beach County",Surfing,M,,1 to 2-inch laceration behind knee,N,Morning,,"CBS12, 6/19/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.19-SingerIsland.pdf
2017.06.18.b,2017-06-18,2017,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,F,14,Leg bitten,N,,"Bull shark, 4' to 5'","C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.18.b-Readnour.pdf
2017.06.18.a,2017-06-18,2017,Unprovoked,REUNION,,Roches Noire,Boarding,M,34,"No injury, shark bit surfboard ",N,10h00,"Bull shark, 2m","Clincanoo, 6/19/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.18.a-Reunion.pdf
2017.06.17,2017-06-17,2017,Unprovoked,SPAIN,Ibiza Island,Playa den Bossa,Swimming,M,82,2-inch laceration to hand,N,12h00,,"Diario de Ibiza, 6/17/'2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.17-Spain.pdf
2017.06.05,2017-06-05,2017,Unprovoked,FRENCH POLYNESIA,Marquesas,"Atuona Bay, Hiva Oa Island",Surfing,M,,Injuries to hand and wrist,N,,,"Tahiti Infos, 6/6/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.05-FrenchPolynesia.pdf
2017.06.14.R,2017-06-14,2017,Unprovoked,BAHAMAS,,,Feeding,F,,Fingernail pulled off ,N,,,"AOL.UK, 6/14/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.14.R-Carly.pdf
2017.06.11,2017-06-11,2017,Unprovoked,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",Boarding,M,48,"No injury, board bitten",N,08h30,"White shark, 4 m","WA Today, 6/11/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.11-Goff.pdf
2017.06.10.b,2017-06-10,2017,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",Surfing,F,,"No injury, knocked off board",N,15h45,Seven-gill shark,Victoria Shark Reports,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.10.b-Flinders.pdf
2017.06.10.a,2017-06-10,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,19,Laceration to left foot,N,10h00,,"Daytona Beach News-Journal, 6/10/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.10.a-Brock.pdf
2017.06.07.R,2017-06-07,2017,Unprovoked,UNITED KINGDOM,South Devon,Bantham Beach,Surfing,M,30,"Bruise to leg, cuts to hand sustained when he hit the shark",N,,"3m shark, probably a smooth hound","C. Moore, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.07.R-Thomson.pdf
2017.06.04,2017-06-04,2017,Unprovoked,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",Fishing,M,,Laceration to shin,N,,8' shark,"Nine News, 6/7/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.04-Simpson.pdf
2017.06.02,2017-06-02,2017,Unprovoked,BAHAMAS,New Providence ,Athol Island,Snorkeling,F,32,Right forearm severed ,N,Shortly before 12h00,Tiger shark,"Tribune 242, 6/2/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.06.02-Johnson.pdf 
2017.05.30,2017-05-30,2017,Provoked,USA,South Carolina,"Awendaw, Charleston County",,F,20,Right hand bitten by hooked shark PROVOKED INCIDENT,N,,3' shark,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.30-Higgins.pdf
2017.05.28,2017-05-28,2017,Unprovoked,USA,Florida,Off Jupiter,Feeding,M,,Lacerations to right arm,N,Morning,Tiger shark,"M. Michaelson, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.28-Jordan.pdf
2017.05.27,2017-05-27,2017,Provoked,AUSTRALIA,New South Wales,Evans Head,Fishing,M,73,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N,,,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.27-Selwood.pdf
2017.05.12,2017-05-12,2017,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Khor Fakkan,Fishing,M,41,Right leg severely bitten,N,Morning,,"Gulf News, 5/13/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.12-Beloushi.pdf
2017.05.06.R,2017-05-06,2017,Provoked,AUSTRALIA,Queensland,Weipa,,M,29,Thigh nipped PROVOKED INCIDENT,N,,9' shark,"The Sun, 5/6/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.06.R-Neille.pdf
2017.05.06,2017-05-05,2017,Unprovoked,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Snorkeling,M,33,FATAL,Y,17h00,,J. Rozada,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.06-Rozada.pdf
2017.05.03,2017-05-03,2017,Provoked,USA,California,"Sunset Beach, Orange County",Surfing,F,18,"Laceration to thigh, likely caused by surfboard fin",,14h30,Shark involvement highly doubtful,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.03-Raab.pdf
2017.04.29.d,2017-04-29,2017,Unprovoked,USA,California,"San Onofre, San Diego County ",Swimming,F,,Major injury to posterior thigh,N,17h34,,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.29.d-Ericson.pdf
2017.04.29.c,2017-04-29,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",Surfing,M,14,Minor injury to right calf,N,17h10,,"J. de Villiars, News24, 4/29/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.29.c-Plett.pdf
2017.04.29.b,2017-04-29,2017,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Surfing,F,33,Left foot bitten,N,11h00,,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.29.b-Dyar.pdf
2017.04.29.a,2017-04-29,2017,Unprovoked,REUNION,Saint-Leu,Pointe au Sal,Boarding,M,28,FATAL,Y,11h15,,"Clicanoo, 4/29/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.29.a-Dubosc.pdf
2017.04.27,2017-04-27,2017,Unprovoked,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",Boarding,F,20,Puncture wounds & laceration above knee,N,14h00,,"C.Black, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.27-NZ.pdf
2017.04.26,2017-04-26,2017,Provoked,USA,Florida,,,F,,Alleged laceration to left ankle,,,No shark invovlement - it ws a publicity stunt,"The Sun, 5/6/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.05.26-Cavelli.pdf
2017.04.22,2017-04-22,2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Snorkeling,F,40,Calf & foot bitten,N,16h00,,"Daily Mail, 4/25/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.22-Gonsalves.pdf
2017.04.20,2017-04-20,2017,Provoked,USA,South Carolina,Georgetown County,Swimming,M,,Laceration & puncture wounds to left foot,,08h50,Shark involvement not confirmed,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.20-PawleysIsland.pdf
2017.04.17.b,2017-04-17,2017,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",,,,Minor bite to the foot,N,Afternoon,,"Daytona Beach News-Journal, 4/17/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.17.b-Volusia.pdf
2017.04.17.a,2017-04-17,2017,Unprovoked,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,Surfing,F,17,FATAL,Y,16h00,White shark,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.17.a Brouwer.pdf
2017.04.14,2017-04-14,2017,Unprovoked,USA,Hawaii,"Kekaha Beach, Kauai",Surfing,M,28,Lower right leg severely injured,N,09h00,"Tiger shark, 12'","Hawaii News Now, 4/14/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.14-Baboo.pdf
2017.04.13,2017-04-13,2017,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,17,Lacerations to right foot,N,13h30,,"News4Jax, 4/14/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.13-Perry.pdf
2017.04.12.b,2017-04-12,2017,Unprovoked,USA,Florida,St. Augustine,Surfing,F,,Lacerations to right foot,N,13h45,,"The Surf Station, 4/13/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.12.b-Keyton.pdf
2017.04.12.a,2017-04-12,2017,Provoked,SOUTH AFRICA,KwaZulu-Natal,Protea Banks,Diving,M,68,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",,,Shark involvement prior to death not confirmed,"E. Ritter, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.12.a-Mairhuber.pdf
2017.04.11,2017-04-11,2017,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,F,35,Calf bitten,N,16h00,,"WFTV, 4/11/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.11-Oosterveld.pdf 
2017.04.10.b,2017-04-10,2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Boarding,F,10,Laceration to calf,N,17h45,,"Brevard Times, 4/10/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.10.b-Melbourne.pdf
2017.04.10.a,2017-04-10,2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,21,Minor injury to left hand,N,17h00,,"Brevard Times, 4/10/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.10.a-Orr.pdf
2017.04.06,2017-04-06,2017,Unprovoked,USA,Florida,"Daytona, Volusia County",Swimming,M,16,Foot injured,N,,,"Bradenton Herald, 4/7/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.07-Stephens.pdf
2017.04.05,2017-04-05,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,51,"Thigh nipped, minor injury",N,13h00,,"AJC, 4/5/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.05-NSB.pdf
2017.04.02.b,2017-04-02,2017,Unprovoked,AUSTRALIA,Queensland,Moreton Bay,,M,39,"No injury, shark bit off stern of kayak",N,Afternoon,,"Philly.com, 4/3/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.02.b-Kleiden.pdf
2017.04.02.a,2017-04-02,2017,Unprovoked,USA,Florida,"Destin, Okaloosa County",Swimming,F,17,Lacerations to thighs,N,15h00,"Bull shark, 5' to 7'",Okaloosa County Sheriff's Office,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.04.02.a-Taylor.pdf
2017.03.27,2017-03-27,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,58,Minor injury to left foot,N,10h00,,"Orlando Sentinel, 3/27/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.27-NSB.pdf
2017.03.19,2017-03-19,2017,Unprovoked,AUSTRALIA,New South Wales,The Farm,Boarding,M,30,Minor,N,18h30,,"Illawarra Mercury, 1/19/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.19-Fernandez.pdf
2017.03.18,2017-03-18,2017,Provoked,USA,California,Monterey Bay,Kayaking,M,,"No injury, kayak bitten",N,14h30,White shark,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.18-Correira.pdf
2017.03.11,2017-03-11,2017,Unprovoked,PHILIPPINES,Luzon Island,"Villamar, Caoayan",Fishing,M,25,Right thigh injured ,N,,10' shark,"ABS-CBN, 3/13/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.11-Reintegrado.pdf
2017.03.09,2017-03-09,2017,Unprovoked,BAHAMAS,Great Exuma,,,M,58,Abrasions & lacerations to left leg and hand,N,,Lemon shark,"Kent Live, 3/9/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.03.09-Keywood.pdf
2017.02.25,2017-02-25,2017,Unprovoked,AUSTRALIA,Western Australia,Mauds Point,Snorkeling,F,,Hand bitten,N,Morning,"Bull shark, 1.5","Perth Now, 2/27/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.25-WesternAustralia.pdf
2017.02.24,2017-02-24,2017,Unprovoked,AUSTRALIA,Western Australia,"Falcon Bay Beach, Mandurah",Surfing,M,,"No injury, shark struck board",N,Morning,,"Perth Now, 2/24/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.24-Mandurah
2017.02.21,2017-02-21,2017,Unprovoked,REUNION,Saint-Andre,,Boarding,M,26,Fatal,Y,09h30,,"Surfline, 2/21/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.21-Naussance.pdf
2017.02.17,2017-02-17,2017,Unprovoked,AUSTRALIA,Queensland,Eva Rock,Fishing,M,26,Left leg severely bitten,N,10h20,,"Courier Mail, 2/18/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.17-Dickson.pdf
2017.02.11,2017-02-11,2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,M,22,Injury to hand,N,13h30,,"Florida Today, 2/11/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.11-MelbourneBeach.pdf
2017.02.06.b,2017-02-06,2017,Provoked,BRAZIL,Pernambuco,Fernando de Noronha Marine Park,,F,,"Minor injury to finger, PROVOKED INCIDENT",N,Afternoon,Lemon shark pup,"O Popular, 2/7/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.06.b-Brazil.pdf
2017.02.06.a,2017-02-06,2017,Provoked,SOUTH AFRICA,KwaZulu-Natal,Eastmoor Crescent Beach,Fishing,M,,"Shark damaged kayak, no injury to occupant",N,,Tiger shark,"The Citizen, 2/8/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.06.a-Umhlanga-kayak.pdf
2017.02.01.b,2017-02-01,2017,Provoked,USA,South Carolina,16 miles off Hilton Head,,,,"Shark bit boat, no injury to occupants",N,,"White shark, female, 14'","YouTube, 2/2/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.01.b-Boat.pdf
2017.02.01.a,2017-02-01,2017,Unprovoked,BAHAMAS,Bimini,,Diving,M,37,Lacerations to upper right arm,N,,Caribbean reef shark,"Dutch News, 2/2/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.01.a-Vonk.pdf
2017.01.24,2017-01-24,2017,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming,M,21,Minor laceration to ring finger,N,13h20,,"K. McMurray, Tracking Sharks",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.24-Andrade.pdf
2017.01.22,2017-01-22,2017,Unprovoked,USA,Florida,"Vero Beach, Indian River County",,M,Teen,Puncture wounds to lower arm or hand,N,14h00,,"TCPalm, 1/22/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.22-VeroBeach.pdf
